wave,yval,yerrLow,yerrUpp
3.8911638259887695,0.06626494913790389,0.00023727662252310403,0.00023727662252310403
3.9014086723327637,0.06663512790661671,0.00024159105302291382,0.00024159105302291382
3.911625862121582,0.06500480109871548,0.0002394935533577027,0.0002394935533577027
3.9218156337738037,0.06445989715271369,0.00023218423873797592,0.00023218423873797592
3.9319777488708496,0.06728959477100122,0.0002545351987976788,0.0002545351987976788
3.942112922668457,0.06376404945991626,0.00023480121379870593,0.00023480121379870593
3.952221393585205,0.06145828341818599,0.00023322010084919685,0.00023322010084919685
3.9623026847839355,0.05763517050841664,0.00022119836993318744,0.00022119836993318744
3.972357749938965,0.058237831680708924,0.00022067650151166276,0.00022067650151166276
3.982386350631714,0.05891309060563142,0.00023819033305545916,0.00023819033305545916
3.9923887252807617,0.05738642932961891,0.00022643122061854467,0.00022643122061854467
4.0023651123046875,0.05923645937709306,0.00022457137860386187,0.00022457137860386187
4.01231575012207,0.060828370631334096,0.0002318422660456054,0.0002318422660456054
4.02224063873291,0.057316023745118135,0.00022805167250330793,0.00022805167250330793
4.032140254974365,0.05920339772121993,0.00022873203526404688,0.00022873203526404688
4.0420145988464355,0.05461689170980094,0.00021911929331105417,0.00021911929331105417
4.051863670349121,0.05573867695589448,0.00022792093375772674,0.00022792093375772674
4.06168794631958,0.05217118132520121,0.00021505432179218787,0.00021505432179218787
4.0714874267578125,0.053537387927163956,0.00021770175211269856,0.00021770175211269856
4.081262111663818,0.04912747500815277,0.00020713755430987947,0.00020713755430987947
4.091012954711914,0.04978868116047837,0.00020912337667385652,0.00020912337667385652
4.100739002227783,0.05282477548388199,0.00022204650231985658,0.00022204650231985658
4.110441207885742,0.052853444618268,0.00022974826997010814,0.00022974826997010814
4.120119094848633,0.050401071071118686,0.00023432553218015676,0.00023432553218015676
4.129772186279297,0.05101522296882897,0.00021889523330592887,0.00021889523330592887
4.139398574829102,0.051168285279507085,0.00022000830336304594,0.00022000830336304594
4.1490020751953125,0.04975523854429912,0.0002171993791594934,0.0002171993791594934
